City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
490,Sumbe,AO,77.2,clear sky,-11.2061,13.8437,Hotel Ritz Sumbe
491,Alyangula,AU,77.79,shower rain,-13.8483,136.4192,Groote Eylandt Lodge
503,Chama,CH,78.6,clear sky,47.1821,8.4636,City Garden Hotel
504,Dingle,PH,78.6,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
509,Lithakia,GR,78.17,overcast clouds,37.7167,20.8333,Zante Plaza Hotel & Apartments
517,Xinzhi,CN,75.33,broken clouds,36.4989,111.7047,Mingyue Hotel
525,Sabzevar,IR,78.08,overcast clouds,36.2126,57.6819,پزشکی قانونی سبزوار
527,Venustiano Carranza,MX,75.22,broken clouds,19.43,-99.0992,We Hotel Aeropuerto
542,Semnan,IR,76.84,clear sky,35.5729,53.3971,Semnan Tourist Hotel
553,Jalu,LY,79.84,clear sky,29.0331,21.5482,صاحبة الفخامة
555,Urumqi,CN,77.95,overcast clouds,43.801,87.6005,Hua Ling Grand Hotel Urumqi
576,Katherine,AU,75.52,few clouds,-14.4667,132.2667,Pine Tree Motel
578,Belmonte,BR,78.87,light intensity drizzle rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
580,Bonthe,SL,77.74,clear sky,7.5264,-12.505,Bonthe Holiday Village
589,Bhatkal,IN,77.0,overcast clouds,13.9667,74.5667,Nilawar Palace
592,Labuhan,ID,79.65,clear sky,-6.8844,112.2051,DoubleFAG
609,Bud,US,78.82,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
610,Chaman,PK,79.56,clear sky,30.9236,66.4512,Niamat parda Center chaman
616,Nyaunglebin,MM,76.48,few clouds,17.95,96.7333,Thi ha
620,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
630,Kalemie,CD,76.55,clear sky,-5.9475,29.1947,Mahobilali
648,Moroni,KM,79.47,light intensity drizzle rain,-11.7022,43.2551,Hotel Les Arcades
661,Fare,PF,79.88,shower rain,-16.7,-151.0167,Maitai Lapita Village Huahine
674,Encruzilhada,BR,79.29,overcast clouds,-15.5314,-40.9094,Hotel e Restaurante Rio Pardo
683,Sambava,MG,75.42,clear sky,-14.2667,50.1667,Melrose
691,Vanimo,PG,78.31,shower rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
706,Sao Joao Da Barra,BR,75.29,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
721,Kudat,MY,78.73,shower rain,6.8837,116.8477,Dream Garden Hotel
