City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
61,Dikson,73.5069,80.5464,29.64,90,100,10.31,shower rain,RU,5/21/2022 14:51
62,Nikolskoye,59.7035,30.7861,53.87,38,9,11.25,clear sky,RU,5/21/2022 14:51
63,Ushuaia,-54.8,-68.3,40.66,81,100,4.61,clear sky,AR,5/21/2022 14:49
64,Koulamoutou,-1.1303,12.4736,77.2,85,100,0.56,overcast clouds,GA,5/21/2022 14:51
65,Port Alfred,-33.5906,26.891,63.18,80,72,3,overcast clouds,ZA,5/21/2022 14:51
66,Maarianhamina,60.0973,19.9348,57.06,41,0,10.36,few clouds,AX,5/21/2022 14:51
67,Ahipara,-35.1667,173.1667,60.08,75,65,12.46,broken clouds,NZ,5/21/2022 14:46
68,Lahan,26.7296,86.4951,84.87,58,25,10.78,light intensity drizzle rain,NP,5/21/2022 14:51
69,Smithers,54.7804,-127.1743,35.92,80,0,2.3,overcast clouds,CA,5/21/2022 14:51
70,Hithadhoo,-0.6,73.0833,83.89,68,100,9.15,clear sky,MV,5/21/2022 14:50
71,Vestmanna,62.1564,-7.1664,49.12,93,100,14.97,shower rain,FO,5/21/2022 14:51
72,Severo-Kurilsk,50.6789,156.125,41.31,97,100,2.98,clear sky,RU,5/21/2022 14:51
73,Bluff,-46.6,168.3333,49.37,87,100,23.4,clear sky,NZ,5/21/2022 14:51
74,Cravo Norte,6.3017,-70.2041,85.57,59,10,7.31,overcast clouds,CO,5/21/2022 14:51
75,Rio Muerto,27.4167,-110.2333,77.25,52,0,11.7,overcast clouds,MX,5/21/2022 14:51
76,Tasiilaq,65.6145,-37.6368,38.73,70,19,1.79,few clouds,GL,5/21/2022 14:51
77,Longyearbyen,78.2186,15.6401,37.24,75,75,3.44,broken clouds,SJ,5/21/2022 14:51
78,Hermanus,-34.4187,19.2345,62.8,68,42,8.99,light intensity drizzle rain,ZA,5/21/2022 14:51
79,Klaksvik,62.2266,-6.589,50.92,88,94,16.13,overcast clouds,FO,5/21/2022 14:51
80,Georgetown,5.4112,100.3354,85.95,83,20,3.44,clear sky,MY,5/21/2022 14:48
81,Namatanai,-3.6667,152.4333,80.49,80,92,8.28,shower rain,PG,5/21/2022 14:51
82,Jyvaskyla,62.2415,25.7209,62.13,33,0,10.36,clear sky,FI,5/21/2022 14:51
83,Dhidhdhoo,6.8833,73.1,83.77,79,69,15.68,clear sky,MV,5/21/2022 14:51
84,Te Anau,-45.4167,167.7167,43.84,91,97,5.06,overcast clouds,NZ,5/21/2022 14:50
85,Trzcianka,53.0406,16.4563,59.02,80,95,16.91,overcast clouds,PL,5/21/2022 14:51
86,San Pedro,14.35,121.0167,81.63,79,40,2.3,few clouds,PH,5/21/2022 14:51
87,Bonoua,5.2741,-3.595,82.02,97,100,6.76,broken clouds,CI,5/21/2022 14:51
88,Lufilufi,-13.8745,-171.5986,74.98,78,37,11.81,light intensity drizzle rain,WS,5/21/2022 14:51
89,Weatherford,32.7593,-97.7972,81.46,77,42,1.99,overcast clouds,US,5/21/2022 14:51
90,Gayny,60.3071,54.3241,35.13,97,100,6.4,clear sky,RU,5/21/2022 14:51
91,Vardo,70.3705,31.1107,39.18,81,100,24.16,shower rain,NO,5/21/2022 14:51
92,Yellowknife,62.456,-114.3525,48.72,57,75,2.3,clear sky,CA,5/21/2022 14:48
93,Yulara,-25.2406,130.9889,55.83,50,11,10.09,clear sky,AU,5/21/2022 14:51
94,Kisangani,0.5167,25.2,76.28,81,100,2.89,overcast clouds,CD,5/21/2022 14:51
95,Avarua,-21.2078,-159.775,75.25,83,75,3.44,overcast clouds,CK,5/21/2022 14:50
96,Araouane,18.9048,-3.5265,108.28,8,66,11.32,few clouds,ML,5/21/2022 14:51
97,Souillac,-20.5167,57.5167,75.58,78,40,11.5,broken clouds,MU,5/21/2022 14:51
98,Leningradskiy,69.3833,178.4167,29.46,98,97,8.95,light intensity drizzle rain,RU,5/21/2022 14:51
99,Faanui,-16.4833,-151.75,79.63,73,13,10.09,overcast clouds,PF,5/21/2022 14:51
100,Fengcheng,40.4536,124.0717,56.25,91,17,2.35,clear sky,CN,5/21/2022 14:51
101,Russell,32.3502,-85.1999,82.11,74,40,5.75,shower rain,US,5/21/2022 14:51
102,Makakilo City,21.3469,-158.0858,73.72,89,100,0,clear sky,US,5/21/2022 14:51
103,Brasileia,-11.0161,-68.7481,77.45,73,2,0,clear sky,BR,5/21/2022 14:51
104,Adrar,20.5022,-10.0711,106.72,6,1,4.65,overcast clouds,MR,5/21/2022 14:51
105,Tuktoyaktuk,69.4541,-133.0374,28.4,80,100,9.22,overcast clouds,CA,5/21/2022 14:51
106,Saskylakh,71.9167,114.0833,28.35,98,100,5.48,few clouds,RU,5/21/2022 14:51
107,Mamallapuram,12.6264,80.1722,92.05,55,85,8.7,broken clouds,IN,5/21/2022 14:51
108,Bushehr,28.9684,50.8385,87.89,42,0,16.11,light intensity drizzle rain,IR,5/21/2022 14:51
109,Ejura,7.3856,-1.3562,72.66,91,100,4.32,overcast clouds,GH,5/21/2022 14:51
110,Hadejia,12.4498,10.0444,105.31,7,73,11.03,clear sky,NG,5/21/2022 14:51
111,Chumikan,54.7183,135.315,31.89,99,100,2.15,shower rain,RU,5/21/2022 14:51
112,Salina,38.8403,-97.6114,51.93,55,100,14.97,clear sky,US,5/21/2022 14:50
113,Vestmannaeyjar,63.4427,-20.2734,54.59,71,0,9.22,clear sky,IS,5/21/2022 14:51
114,Roma,43.2128,-75.4557,86.38,66,0,5.01,overcast clouds,US,5/21/2022 14:51
115,Beyneu,45.3167,55.2,60.21,31,6,23.64,overcast clouds,KZ,5/21/2022 14:51
116,Kodiak,57.79,-152.4072,45.91,81,100,19.57,few clouds,US,5/21/2022 14:51
117,Bilma,18.6853,12.9164,101.61,8,32,5.26,broken clouds,NE,5/21/2022 14:51
118,Chara,56.9064,118.2631,49.03,62,100,2.55,light intensity drizzle rain,RU,5/21/2022 14:51
119,Vlore,40.4667,19.4897,73.15,47,0,6.33,overcast clouds,AL,5/21/2022 14:51
120,Necochea,-38.5473,-58.7368,58.32,57,0,12.01,clear sky,AR,5/21/2022 14:48
121,Sartell,45.6216,-94.2069,48.15,60,75,9.22,shower rain,US,5/21/2022 14:51
122,Isangel,-19.55,169.2667,77.94,91,93,18.14,clear sky,VU,5/21/2022 14:51
123,Palu,-0.8917,119.8707,76.24,97,100,0.31,clear sky,ID,5/21/2022 14:51
124,Oyama,36.3,139.8,65.59,75,100,1.95,overcast clouds,JP,5/21/2022 14:51
125,Fort Nelson,58.8053,-122.7002,38.79,52,75,6.91,overcast clouds,CA,5/21/2022 14:51
